Plant_specie;Herbivore_specie;Plant_Tribe;Herbivore_Family;N;Loc
Senecio pohlii Sch. Bip.;Platphalonidia fusifera;Senecioneae;Tortricidae;15;DIAM
Erechtites hieracifolius (L.) Raf. ex DC.;Platphalonidia fusifera;Senecioneae;Tortricidae;5;DIAM
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Platphalonidia fusifera;Vernonieae;Tortricidae;2;DIAM
Aspilia sp.02;Cochylis cf. sagittigera;Vernonieae;Tortricidae;8;CABR
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Cochylis cf. sagittigera;Vernonieae;Tortricidae;1;DIAM
Senecio adamantinus Bong.;Phalonidia squalida;Senecioneae;Tortricidae;4;CABR
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Acritopappus irwinii R.M. King  & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;GMOG
Strophopappus bicolor DC.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Lychnophora pohlii Sch. Bip.;Phalonidia squalida;Vernonieae;Tortricidae;1;DIAM
Heterocondylus alatus (Vell.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;DIAM
Chromolaena mattogrossensis (Hieron.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;CABR
Lessingianthus cordiger (Mart. ex DC.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;3;CABR
Lepidaploa lilacina (Mart. ex DC.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CIPO
Baccharis subdentata DC.;Phalonidia squalida;Astereae;Tortricidae;1;CABR
Lychnophora candelabrum Sch. Bip.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;GMOG
Lychnophora indet.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Mikania micrantha Kunth;Phalonidia squalida;Eupatorieae;Tortricidae;1;CABR
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;4;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;3;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;CIPO
Lessingianthus laevigatus (Mart. ex DC.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;2;CIPO
Lychnophora rosmarinifolia Mart.;Phalonidia squalida;Vernonieae;Tortricidae;1;CIPO
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;CIPO
Vernonanthura ferruginea (Less.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Lessingianthus laevigatus (Mart. ex DC.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;CIPO
Moquiniastrum floribundum (Cabrera) G. Sancho;Phalonidia squalida;Gochnatieae;Tortricidae;1;OUBR
Lychnophora indet.;Phalonidia squalida;Vernonieae;Tortricidae;15;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;2;CIPO
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;9;DIAM
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;DIAM
Lychnophora phylicifolia DC.;Phalonidia squalida;Vernonieae;Tortricidae;7;CABR
Lessingianthus linearifolius (Less.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CIPO
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;2;GMOG
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;OUBR
Calea sp.05;Phalonidia squalida;Vernonieae;Tortricidae;1;CIPO
Cyrtocymura scorpioides (Lam.) H.Rob.;Phalonidia squalida;Coreopsideae;Tortricidae;1;CIPO
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;DIAM
Oyedaea oxylepis S.F. Blake;Phalonidia squalida;Heliantheae;Tortricidae;2;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;Phalonidia squalida;Vernonieae;Tortricidae;1;CABR
Chromolaena minasgeraesensis (Hieron.) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;GMOG
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Phalonidia squalida;Eupatorieae;Tortricidae;1;CABR
Calea nitida Less.;Phalonidia squalida;Neuroleneae;Tortricidae;3;GMOG
Minasia sp.06;Phalonidia squalida;Vernonieae;Tortricidae;4;CABR
Senecio adamantinus Bong.;Cochylini sp.09;Senecioneae;Tortricidae;1;CABR
Vernonanthura polyanthes (Sprengel) Vega & Dematteis;Cochylini sp.09;Vernonieae;Tortricidae;1;CABR
Richterago discoidea (Less.) Kuntze;Cochylini sp.09;Gochnatieae;Tortricidae;1;OUBR
Vernonanthura subverticillata;Calycomyza n.id.;Vernonieae;Agromyzidae;1;GMOG
Vernonanthura subverticillata;Calycomyza sp.01;Vernonieae;Agromyzidae;1;GMOG
Lychnophora indet.;Calycomyza sp.01;Vernonieae;Agromyzidae;1;CABR
Calea elongata (Gardner) Baker;Calycomyza sp.02;Neuroleneae;Agromyzidae;2;CABR
Aspilia cylindrocephala H. Rob.;Calycomyza sp.03;Heliantheae;Agromyzidae;1;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;1;DIAM
Trichogonia salviifolia Gardner;Cecidochares connexa;Eupatorieae;Tephritidae;1;GMOG
Moquinia racemosa (Spreng.) DC.;Cecidochares connexa;Moquinieae;Tephritidae;1;DIAM
Pseudobrickellia brasiliensis (Spreng.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;16;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;3;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;1;CABR
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;5;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;4;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares connexa;Eupatorieae;Tephritidae;3;DIAM
Chromolaena horminoides DC.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;CABR
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;GMOG
Chromolaena mattogrossensis (Hieron.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;2;CABR
Chromolaena mattogrossensis (Hieron.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;CABR
Chromolaena horminoides DC.;Cecidochares sp.e;Eupatorieae;Tephritidae;17;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;CABR
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;DIAM
Chromolaena odorata (L.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;GMOG
Chromolaena horminoides DC.;Cecidochares sp.e;Eupatorieae;Tephritidae;7;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;DIAM
Chromolaena oxylepis (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;5;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;17;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;2;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;DIAM
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;OUBR
Chromolaena mattogrossensis (Hieron.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;GMOG
Chromolaena pungens (Gardner) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;4;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;4;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;2;CABR
Chromolaena horminoides DC.;Cecidochares sp.e;Eupatorieae;Tephritidae;1;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;2;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;CABR
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;4;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;6;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Cecidochares sp.e;Eupatorieae;Tephritidae;3;CIPO
Moquinia racemosa (Spreng.) DC.;Cecidochares sp.e;Moquinieae;Tephritidae;2;DIAM
Lessingianthus buddleiifolius (Mart. ex DC.) H. Rob.;Dictyotrypeta atacta;Vernonieae;Tephritidae;62;CABR
Lessingianthus obtusatus (Less.) H. Rob.;Dictyotrypeta atacta;Vernonieae;Tephritidae;44;CIPO
Lessingianthus obtusatus (Less.) H. Rob.;Dictyotrypeta atacta;Vernonieae;Tephritidae;3;CIPO
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Dictyotrypeta atacta;Eupatorieae;Tephritidae;1;CIPO
Proteopsis sp.01;Dictyotrypeta atacta;Vernonieae;Tephritidae;5;DIAM
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta atacta;Vernonieae;Tephritidae;3;CIPO
Lessingianthus coriaceus (Less.) H. Rob.;Dictyotrypeta atacta;Vernonieae;Tephritidae;73;CIPO
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;21;DIAM
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;DIAM
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;4;DIAM
Centratherum punctatum Cass.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;GMOG
Mikania officinalis Mart.;Dictyotrypeta sp.23;Eupatorieae;Tephritidae;1;DIAM
Lessingianthus warmingianus (Baker) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;DIAM
Minasia sp.06;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CABR
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CIPO
Echinocoryne holosericea (Mart. ex DC.) H.Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;OUBR
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;DIAM
Richterago discoidea (Less.) Kuntze;Dictyotrypeta sp.23;Gochnatieae;Tephritidae;1;GMOG
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;6;CIPO
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CIPO
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CIPO
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;DIAM
Richterago radiata (Vell.) Roque;Dictyotrypeta sp.23;Gochnatieae;Tephritidae;2;OUBR
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;24;DIAM
Lychnophora villosissima Mart.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;DIAM
Eremanthus erythropappus (DC.) MacLeish;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;OUBR
Minasia indet.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CABR
Minasia sp.06;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;CABR
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;3;OUBR
Lessingianthus tomentellus (Mart. ex DC.) H. Rob.;Dictyotrypeta sp.23;Vernonieae;Tephritidae;2;DIAM
Lessingianthus sp.09;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;DIAM
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;4;DIAM
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Dictyotrypeta sp.23;Vernonieae;Tephritidae;1;CIPO
Lepidaploa salzmannii (DC.) H. Rob.;Dictyotrypeta sp.06;Vernonieae;Tephritidae;2;OUBR
Chresta sphaerocephala DC.;Dictyotrypeta sp.a;Vernonieae;Tephritidae;5;CABR
Chresta sphaerocephala DC.;Dictyotrypeta sp.a;Vernonieae;Tephritidae;3;CABR
Strophopappus bicolor DC.;Dictyotrypeta sp.a;Vernonieae;Tephritidae;2;CABR
Chresta sphaerocephala DC.;Dictyotrypeta sp.a;Vernonieae;Tephritidae;2;CABR
Chresta sphaerocephala DC.;Dictyotrypeta sp.a;Vernonieae;Tephritidae;1;CABR
Actinoseris polymorpha;Dictyotrypeta sp.b;Vernonieae;Tephritidae;10;CIPO
Richterago stenophylla (Cabrera) Roque;Dictyotrypeta sp.b;Gochnatieae;Tephritidae;2;CIPO
Minasia splettiae H. Rob.;Dictyotrypeta sp.b;Vernonieae;Tephritidae;3;DIAM
Richterago discoidea (Less.) Kuntze;Dictyotrypeta sp.b;Gochnatieae;Tephritidae;1;DIAM
Minasia sp.01;Dictyotrypeta sp.b;Vernonieae;Tephritidae;1;DIAM
Calea teucriifolia (Gardner) Baker;Dictyotrypeta sp.c;Neuroleneae;Tephritidae;5;GMOG
Aspilia jolyana G.M. Barroso;Dictyotrypeta sp.d;Heliantheae;Tephritidae;1;CIPO
Aspilia tomentosa;Dictyotrypeta sp.d;Vernonieae;Tephritidae;4;DIAM
Aspilia foliosa (Gardner) Baker;Dictyotrypeta sp.d;Heliantheae;Tephritidae;5;DIAM
Aspilia sp.01;Dictyotrypeta sp.d;Vernonieae;Tephritidae;1;GMOG
Aspilia tomentosa;Dictyotrypeta sp.d;Vernonieae;Tephritidae;2;DIAM
Aspilia sp.05;Dictyotrypeta sp.d;Vernonieae;Tephritidae;1;DIAM
Aspilia foliacea (Spreng.) Baker;Dictyotrypeta sp.d;Heliantheae;Tephritidae;1;DIAM
Isostigma sp.01;Dioxyna chilensis;Vernonieae;Tephritidae;61;CABR
Porophyllum angustissimum Gardner;Dioxyna chilensis;Tageteae;Tephritidae;1;CABR
Chaptalia piloselloides (Vahl) Baker;Dioxyna chilensis;Mutisieae;Tephritidae;2;DIAM
Bidens sp.06;Dioxyna thomae;Vernonieae;Tephritidae;33;GMOG
Bidens sp.03;Dioxyna thomae;Vernonieae;Tephritidae;1;DIAM
Bidens sp.03;Dioxyna thomae;Vernonieae;Tephritidae;5;CABR
Aspilia sp.02;Dyseuaresta sp.b;Vernonieae;Tephritidae;150;CABR
Aspilia jolyana G.M. Barroso;Dyseuaresta sp.b;Heliantheae;Tephritidae;2;CIPO
Aspilia sp.04;Dyseuaresta sp.b;Vernonieae;Tephritidae;4;CIPO
Pseudobrickellia brasiliensis (Spreng.) R.M. King & H. Rob.;Dyseuaresta sp.b;Eupatorieae;Tephritidae;1;GMOG
Aspilia sp.02;Dyseuaresta sp.b;Vernonieae;Tephritidae;6;CABR
Aspilia cylindrocephala H. Rob.;Dyseuaresta adelphica;Heliantheae;Tephritidae;8;CABR
Aspilia sp.03;Dyseuaresta adelphica;Vernonieae;Tephritidae;11;OUBR
Aspilia sp.03;Dyseuaresta adelphica;Vernonieae;Tephritidae;58;OUBR
Aspilia sp.01;Dyseuaresta adelphica;Vernonieae;Tephritidae;8;GMOG
Aspilia tomentosa;Dyseuaresta adelphica;Vernonieae;Tephritidae;2;DIAM
Aspilia foliacea (Spreng.) Baker;Dyseuaresta adelphica;Heliantheae;Tephritidae;1;DIAM
Aspilia cylindrocephala H. Rob.;Dyseuaresta adelphica;Heliantheae;Tephritidae;18;CABR
Aspilia sp.06;Dyseuaresta adelphica;Vernonieae;Tephritidae;3;DIAM
Aspilia sp.01;Dyseuaresta adelphica;Vernonieae;Tephritidae;14;GMOG
Aspilia sp.03;Dyseuaresta adelphica;Vernonieae;Tephritidae;1;OUBR
Aspilia sp.10;Dyseuaresta adelphica;Vernonieae;Tephritidae;1;GMOG
Aspilia tomentosa;Dyseuaresta adelphica;Vernonieae;Tephritidae;2;DIAM
Aspilia cylindrocephala H. Rob.;Dyseuaresta adelphica;Heliantheae;Tephritidae;3;CABR
Aspilia sp.05;Dyseuaresta adelphica;Vernonieae;Tephritidae;1;DIAM
Aspilia foliosa (Gardner) Baker;Dyseuaresta adelphica;Heliantheae;Tephritidae;19;DIAM
Aspilia cylindrocephala H. Rob.;Dyseuaresta adelphica;Heliantheae;Tephritidae;1;CABR
Calea indet.;Dyseuaresta adelphica;Vernonieae;Tephritidae;1;GMOG
Aspilia cylindrocephala H. Rob.;Dyseuaresta adelphica;Heliantheae;Tephritidae;1;CABR
Aspilia tomentosa;Dyseuaresta adelphica;Vernonieae;Tephritidae;6;DIAM
Aspilia foliosa (Gardner) Baker;Dyseuaresta adelphica;Heliantheae;Tephritidae;13;DIAM
Aspilia tomentosa;Dyseuaresta adelphica;Vernonieae;Tephritidae;18;DIAM
Aspilia jolyana G.M. Barroso;Dyseuaresta adelphica;Heliantheae;Tephritidae;5;CIPO
Aspilia laevissima (Less. ex Baker) Baker;Dyseuaresta adelphica;Heliantheae;Tephritidae;7;CIPO
Moquiniastrum hatschbachii (Cabrera) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;1;DIAM
Moquiniastrum floribundum (Cabrera) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;47;CABR
Moquiniastrum hatschbachii (Cabrera) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;1;CIPO
Moquiniastrum paniculatum (Less.) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;5;CABR
Moquiniastrum paniculatum (Less.) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;25;DIAM
Moquiniastrum floribundum (Cabrera) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;8;CIPO
Moquiniastrum floribundum (Cabrera) G. Sancho;Euarestoides sp.05;Gochnatieae;Tephritidae;1;DIAM
Moquinia racemosa (Spreng.) DC.;Euarestoides sp.05;Moquinieae;Tephritidae;1;GMOG
Baccharis subdentata DC.;Lioptilodes parvus;Astereae;Pterophoridae;1;CABR
Minasia scapigera H. Rob.;Lioptilodes parvus;Vernonieae;Pterophoridae;1;DIAM
Minasia scapigera H. Rob.;Lioptilodes parvus;Vernonieae;Pterophoridae;3;DIAM
Haplopappus scaposus;Lioptilodes parvus;Vernonieae;Pterophoridae;4;OUBR
Haplopappus scaposus;Lioptilodes parvus;Vernonieae;Pterophoridae;3;OUBR
Baccharis perulata Kuntze;Lioptilodes parvus;Astereae;Pterophoridae;10;OUBR
Baccharis perulata Kuntze;Lioptilodes parvus;Astereae;Pterophoridae;37;OUBR
Baccharis ligustrina DC.;Lioptilodes parvus;Astereae;Pterophoridae;15;GMOG
Baccharis ligustrina DC.;Lioptilodes parvus;Astereae;Pterophoridae;9;DIAM
Haplopappus scaposus;Lioptilodes parvus;Vernonieae;Pterophoridae;1;OUBR
Baccharis platypoda DC.;Lioptilodes parvus;Astereae;Pterophoridae;2;DIAM
Baccharis ligustrina DC.;Lioptilodes parvus;Astereae;Pterophoridae;6;DIAM
Baccharis perulata Kuntze;Lioptilodes parvus;Astereae;Pterophoridae;6;CIPO
Haplopappus scaposus;Lioptilodes parvus;Vernonieae;Pterophoridae;2;OUBR
Baccharis perulata Kuntze;Lioptilodes parvus;Astereae;Pterophoridae;6;OUBR
Baccharis aphylla (Vell.) DC.;Lioptilodes parvus;Astereae;Pterophoridae;2;OUBR
Erigeron maximus;Lioptilodes parvus;Vernonieae;Pterophoridae;2;OUBR
Minasia indet.;Lioptilodes parvus;Vernonieae;Pterophoridae;1;CABR
Baccharis dracunculifolia DC.;Lioptilodes parvus;Astereae;Pterophoridae;21;CIPO
Baccharis ligustrina DC.;Lioptilodes parvus;Astereae;Pterophoridae;1;CIPO
Minasia splettiae H. Rob.;Lioptilodes parvus;Vernonieae;Pterophoridae;1;DIAM
Conyza primulifolia (Lam.) Cuatrec. & Lourteig;Lioptilodes parvus;Astereae;Pterophoridae;2;CABR
Conyza canadensis (L.) Cronquist;Lioptilodes parvus;Astereae;Pterophoridae;6;CABR
Haplopappus scaposus;Lioptilodes parvus;Vernonieae;Pterophoridae;6;OUBR
Aspilia foliacea (Spreng.) Baker;Liriomyza indet.;Heliantheae;Agromyzidae;1;DIAM
Cyrtocymura scorpioides (Lam.) H.Rob.;Liriomyza indet.;Coreopsideae;Agromyzidae;1;OUBR
Lychnophora pohlii Sch. Bip.;Liriomyza indet.;Vernonieae;Agromyzidae;4;DIAM
Vernonanthura westiniana (Less.) H. Rob.;Liriomyza indet.;Vernonieae;Agromyzidae;1;OUBR
Lychnophora pseudovillosissima;Liriomyza indet.;Vernonieae;Agromyzidae;2;DIAM
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Liriomyza indet.;Vernonieae;Agromyzidae;3;DIAM
Cyrtocymura scorpioides (Lam.) H.Rob.;Liriomyza indet.;Coreopsideae;Agromyzidae;1;CIPO
Stenocephalum megapotamicum (Spreng.) Sch. Bip.;Liriomyza indet.;Vernonieae;Agromyzidae;2;DIAM
Moquinia racemosa (Spreng.) DC.;Melanagromyza bidentis;Moquinieae;Agromyzidae;9;DIAM
Vernonanthura subverticillata;Melanagromyza chaptaliae;Vernonieae;Agromyzidae;4;GMOG
Calea sp.07;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;5;OUBR
Vernonanthura subverticillata;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;3;GMOG
Aspilia cylindrocephala H. Rob.;Melanagromyza erechtitidis;Heliantheae;Agromyzidae;4;CABR
Lychnophora phylicifolia DC.;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;2;CABR
Vernonanthura ignobilis (Less.) H. Rob.;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;14;CABR
Chaptalia nutans (L.) Pol.;Melanagromyza erechtitidis;Mutisieae;Agromyzidae;1;GMOG
Chrysolaena obovata (Less.) Dematt.;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;19;DIAM
Aspilia foliosa (Gardner) Baker;Melanagromyza erechtitidis;Heliantheae;Agromyzidae;15;DIAM
Praxelis clematidea (Griseb.) R.M.King & H.Rob.;Melanagromyza erechtitidis;Eupatorieae;Agromyzidae;2;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Melanagromyza erechtitidis;Eupatorieae;Agromyzidae;41;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Melanagromyza erechtitidis;Eupatorieae;Agromyzidae;6;CABR
Chaptalia piloselloides (Vahl) Baker;Melanagromyza erechtitidis;Mutisieae;Agromyzidae;1;DIAM
Vernonanthura glanduloso-dentata;Melanagromyza erechtitidis;Vernonieae;Agromyzidae;2;CIPO
Aspilia jolyana G.M. Barroso;Melanagromyza erechtitidis;Heliantheae;Agromyzidae;2;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Melanagromyza erechtitidis;Eupatorieae;Agromyzidae;2;DIAM
Lychnophora pinaster Mart.;Melanagromyza minimoides;Vernonieae;Agromyzidae;8;OUBR
Heterocondylus amphidictyus (DC.) R.M. King & H. Rob.;Melanagromyza minimoides;Eupatorieae;Agromyzidae;2;OUBR
Eremanthus elaeagnus (Mart. ex DC.) Sch. Bip.;Melanagromyza minimoides;Vernonieae;Agromyzidae;24;CIPO
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Melanagromyza minimoides;Eupatorieae;Agromyzidae;9;DIAM
Aspilia foliosa (Gardner) Baker;Melanagromyza minimoides;Heliantheae;Agromyzidae;30;DIAM
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Melanagromyza indet.;Eupatorieae;Agromyzidae;1;OUBR
Praxelis clematidea (Griseb.) R.M.King & H.Rob.;Melanagromyza indet.;Eupatorieae;Agromyzidae;50;OUBR
Vernonanthura subverticillata;Melanagromyza sp.10;Vernonieae;Agromyzidae;2;CABR
Vernonanthura mucronulata (Less.) H. Rob.;Melanagromyza neotropica;Vernonieae;Agromyzidae;4;OUBR
Baccharis aphylla (Vell.) DC.;Melanagromyza neotropica;Astereae;Agromyzidae;3;OUBR
Baccharis aphylla (Vell.) DC.;Melanagromyza neotropica;Astereae;Agromyzidae;1;OUBR
Aspilia foliacea (Spreng.) Baker;Melanagromyza neotropica;Heliantheae;Agromyzidae;1;OUBR
Richterago discoidea (Less.) Kuntze;Melanagromyza neotropica;Gochnatieae;Agromyzidae;3;OUBR
Lychnophora pinaster Mart.;Melanagromyza neotropica;Vernonieae;Agromyzidae;1;OUBR
